,ID,Churn,Sexo,Sênior,Parceiro,Dependentes,MesesDeContrato,Telefone,VáriasLinhas,SegurançaOnline,ServiçoInternet,BackupOnline,ProteçãoDispositivo,SuporteTécnico,StreamingTV,StreamingFilmes,Contato,FaturamentoSemPapel,GastoDiario,FormaDePagamento,EncargosMensal,EncargosTotal
15,0020-INWCK,No,Feminino,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Dois Anos,Yes,3.19,Credit card (automatic),95.75,6849.4
16,0020-JDNXP,No,Feminino,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Um Ano,No,2.04,Cheque enviado,61.25,1993.2
17,0021-IKXGC,No,Feminino,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mês a mês,Yes,2.4,Cheque eletrônico,72.1,72.1
18,0022-TCJCI,Yes,Masculino,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Um Ano,No,2.09,Credit card (automatic),62.7,2791.5
19,0023-HGHWL,Yes,Masculino,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Mês a mês,Yes,0.84,Cheque eletrônico,25.1,25.1
20,0023-UYUPN,No,Feminino,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,No,0.84,Cheque eletrônico,25.2,1306.3
21,0023-XUOPT,Yes,Feminino,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Mês a mês,No,3.14,Cheque eletrônico,94.1,1215.6
22,0027-KWYKW,No,Feminino,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Mês a mês,Yes,2.79,Cheque eletrônico,83.75,1849.95
23,0030-FNXPP,No,Feminino,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,0.66,Cheque enviado,19.85,57.2
24,0031-PVLZI,Yes,Feminino,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,0.68,Cheque enviado,20.35,76.35
25,0032-PGELS,Yes,Feminino,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Mês a mês,No,1.02,Bank transfer (automatic),30.5,30.5
26,0036-IHMOT,No,Feminino,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Um Ano,Yes,3.46,Bank transfer (automatic),103.7,5656.75
27,0040-HALCW,No,Masculino,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,No,0.68,Credit card (automatic),20.4,1090.6
28,0042-JVWOJ,No,Masculino,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,Yes,0.65,Bank transfer (automatic),19.6,471.85
29,0042-RLHYP,No,Feminino,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,No,0.66,Bank transfer (automatic),19.7,1396.9
31,0048-LUMLS,No,Masculino,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Um Ano,No,3.04,Credit card (automatic),91.2,3247.55
32,0048-PIHNL,No,Feminino,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,No,0.68,Bank transfer (automatic),20.45,900.9
33,0052-DCKON,No,Masculino,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Um Ano,No,3.86,Bank transfer (automatic),115.8,7942.15
34,0052-YNYOT,No,Feminino,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,No,0.68,Cheque eletrônico,20.55,1343.4
35,0056-EPFBG,No,Masculino,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Dois Anos,Yes,1.31,Credit card (automatic),39.4,825.4
36,0057-QBUQH,No,Feminino,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,Yes,0.84,Cheque eletrônico,25.1,1070.15
37,0058-EVZWM,No,Feminino,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Mês a mês,Yes,2.99,Bank transfer (automatic),89.8,4959.6
38,0060-FUALY,No,Feminino,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Mês a mês,Yes,3.16,Cheque eletrônico,94.75,5597.65
39,0064-SUDOG,No,Feminino,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,No,0.68,Bank transfer (automatic),20.3,224.5
40,0064-YIJGF,No,Masculino,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mês a mês,Yes,2.52,Bank transfer (automatic),75.75,1929.0
41,0067-DKWBL,Yes,Masculino,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Mês a mês,Yes,1.64,Cheque eletrônico,49.25,91.1
42,0068-FIGTF,No,Feminino,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Um Ano,No,2.61,Cheque enviado,78.2,2078.95
43,0071-NDAFP,No,Masculino,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,No,0.85,Credit card (automatic),25.5,630.6
44,0074-HDKDG,No,Masculino,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Um Ano,Yes,2.05,Bank transfer (automatic),61.6,1611.0
45,0076-LVEPS,No,Masculino,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mês a mês,Yes,1.5,Cheque enviado,45.0,1242.45
46,0078-XZMHT,No,Masculino,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,2.84,Bank transfer (automatic),85.15,6316.2
47,0080-EMYVY,No,Feminino,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Um Ano,No,1.72,Credit card (automatic),51.45,727.85
48,0080-OROZO,No,Feminino,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Um Ano,Yes,3.31,Cheque eletrônico,99.25,3532.0
49,0082-LDZUE,No,Masculino,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,1.48,Cheque enviado,44.3,44.3
50,0082-OQIQY,No,Masculino,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,3.14,Cheque eletrônico,94.2,2607.6
51,0083-PIVIK,No,Masculino,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Um Ano,No,2.71,Cheque eletrônico,81.25,5567.55
52,0089-IIQKO,No,Feminino,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,3.33,Credit card (automatic),99.95,3767.4
53,0093-EXYQL,No,Feminino,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Mês a mês,Yes,3.05,Cheque eletrônico,91.55,3673.6
54,0093-XWZFY,Yes,Masculino,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mês a mês,Yes,3.48,Credit card (automatic),104.5,4036.85
55,0094-OIFMO,Yes,Feminino,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,3.17,Cheque eletrônico,95.0,1120.3
56,0096-BXERS,No,Feminino,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Mês a mês,No,1.68,Cheque eletrônico,50.35,314.55
57,0096-FCPUF,No,Masculino,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Mês a mês,Yes,2.15,Cheque enviado,64.5,1888.45
58,0098-BOWSO,No,Masculino,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,0.65,Cheque eletrônico,19.4,529.8
59,0100-DUVFC,No,Masculino,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Um Ano,Yes,3.49,Cheque eletrônico,104.8,7308.95
60,0103-CSITQ,No,Feminino,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Um Ano,Yes,3.65,Bank transfer (automatic),109.4,6252.7
61,0104-PPXDV,No,Masculino,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,Um Ano,No,1.68,Credit card (automatic),50.3,2878.55
62,0106-GHRQR,No,Masculino,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Mês a mês,Yes,2.38,Bank transfer (automatic),71.4,1212.1
63,0106-UGRDO,No,Feminino,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,3.87,Cheque eletrônico,116.0,8182.85
64,0107-WESLM,Yes,Masculino,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,0.66,Cheque eletrônico,19.85,19.85
65,0107-YHINA,Yes,Masculino,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Mês a mês,Yes,3.32,Cheque eletrônico,99.75,99.75
66,0111-KLBQG,No,Masculino,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,3.13,Cheque enviado,93.95,2861.45
67,0112-QAWRZ,No,Masculino,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Mês a mês,Yes,3.03,Bank transfer (automatic),90.8,1442.2
68,0112-QWPNC,Yes,Masculino,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Um Ano,No,2.81,Cheque eletrônico,84.35,4059.35
69,0114-IGABW,No,Feminino,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Dois Anos,No,1.94,Bank transfer (automatic),58.25,4145.9
70,0114-PEGZZ,No,Feminino,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mês a mês,No,3.58,Cheque eletrônico,107.55,3645.5
71,0114-RSRRW,No,Feminino,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,0.66,Bank transfer (automatic),19.95,187.75
72,0115-TFERT,Yes,Masculino,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Mês a mês,Yes,3.71,Cheque eletrônico,111.2,2317.1
73,0117-LFRMW,Yes,Masculino,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mês a mês,No,1.34,Bank transfer (automatic),40.2,1448.8
74,0118-JPNOY,No,Feminino,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Mês a mês,Yes,2.86,Credit card (automatic),85.8,2193.65
76,0121-SNYRK,No,Masculino,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,Um Ano,Yes,1.18,Cheque enviado,35.4,1748.9
77,0122-OAHPZ,Yes,Feminino,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mês a mês,Yes,2.46,Cheque eletrônico,73.85,511.25
78,0123-CRBRT,No,Feminino,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,No,2.94,Cheque enviado,88.1,5526.75
79,0125-LZQXK,Yes,Masculino,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Mês a mês,Yes,3.38,Cheque eletrônico,101.35,1553.95
80,0128-MKWSG,No,Feminino,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mês a mês,No,1.53,Cheque enviado,45.8,1147.0
81,0129-KPTWJ,No,Masculino,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Mês a mês,Yes,3.16,Cheque eletrônico,94.65,6747.35
82,0129-QMPDR,No,Masculino,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,Yes,0.68,Bank transfer (automatic),20.5,865.05
83,0130-SXOUN,No,Masculino,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Mês a mês,No,2.98,Credit card (automatic),89.4,5976.9
84,0133-BMFZO,Yes,Feminino,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Mês a mês,Yes,2.88,Cheque eletrônico,86.25,181.65
85,0134-XWXCE,No,Feminino,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Um Ano,No,2.49,Bank transfer (automatic),74.85,3268.05
86,0135-NMXAP,Yes,Feminino,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mês a mês,Yes,2.99,Bank transfer (automatic),89.75,1052.4
87,0136-IFMYD,No,Masculino,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,3.66,Cheque eletrônico,109.95,7634.25
88,0137-OCGAB,Yes,Feminino,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Mês a mês,Yes,2.67,Cheque enviado,80.2,80.2
89,0137-UDEUO,Yes,Feminino,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,0.66,Cheque enviado,19.85,63.75
90,0139-IVFJG,No,Feminino,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Mês a mês,No,3.01,Cheque eletrônico,90.35,190.5
91,0141-YEAYS,No,Feminino,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mês a mês,Yes,2.88,Bank transfer (automatic),86.45,2401.05
92,0142-GVYSN,No,Masculino,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,Yes,0.68,Cheque eletrônico,20.3,511.25
93,0147-ESWWR,No,Feminino,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,3.38,Cheque eletrônico,101.25,3949.15
94,0148-DCDOS,Yes,Masculino,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mês a mês,Yes,3.16,Bank transfer (automatic),94.7,2362.1
95,0151-ONTOV,Yes,Feminino,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Mês a mês,No,2.36,Cheque enviado,70.9,70.9
97,0156-FVPTA,Yes,Masculino,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Mês a mês,Yes,1.81,Cheque eletrônico,54.2,1152.7
99,0164-APGRB,No,Feminino,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,Yes,3.83,Cheque eletrônico,114.9,8496.7
100,0164-XAIRP,No,Feminino,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,Yes,0.65,Bank transfer (automatic),19.55,470.2
101,0168-XZKBB,No,Feminino,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Mês a mês,Yes,2.9,Cheque eletrônico,86.85,1564.4
102,0174-QRVVY,No,Masculino,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,No,0.85,Credit card (automatic),25.35,1847.55
103,0177-PXBAT,No,Masculino,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mês a mês,Yes,3.66,Bank transfer (automatic),109.9,3694.7
104,0178-CIIKR,No,Feminino,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,0.66,Cheque enviado,19.95,58.0
105,0178-SZBHO,No,Masculino,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mês a mês,No,2.91,Cheque eletrônico,87.2,4017.45
106,0181-RITDD,No,Masculino,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,No,3.6,Cheque enviado,108.15,6825.65
107,0186-CAERR,No,Masculino,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Um Ano,Yes,3.88,Bank transfer (automatic),116.3,8309.55
108,0187-QSXOE,No,Masculino,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Mês a mês,Yes,2.97,Cheque eletrônico,89.0,605.45
109,0187-WZNAB,No,Feminino,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Mês a mês,No,2.48,Cheque enviado,74.4,1972.35
110,0188-GWFLE,No,Masculino,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,0.67,Cheque enviado,20.05,33.7
111,0191-EQUUH,No,Feminino,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Dois Anos,No,1.17,Bank transfer (automatic),35.05,844.45
112,0191-ZHSKZ,No,Masculino,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Mês a mês,Yes,2.49,Cheque eletrônico,74.75,2111.3
113,0193-ESZXP,Yes,Feminino,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Um Ano,Yes,3.52,Credit card (automatic),105.5,6205.5
114,0195-IESCP,Yes,Masculino,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mês a mês,Yes,2.84,Cheque eletrônico,85.25,855.3
115,0196-JTUQI,No,Feminino,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mês a mês,Yes,2.51,Credit card (automatic),75.2,633.85
116,0196-VULGZ,Yes,Feminino,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mês a mês,Yes,2.81,Cheque eletrônico,84.35,474.9
117,0197-PNKNK,No,Feminino,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Um Ano,No,2.82,Bank transfer (automatic),84.45,5848.6
118,0201-MIBOL,No,Feminino,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Dois Anos,Yes,3.41,Bank transfer (automatic),102.4,6471.85
119,0201-OAMXR,Yes,Feminino,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Um Ano,No,3.85,Credit card (automatic),115.55,8127.6
120,0203-HHYIJ,Yes,Masculino,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,No,0.84,Bank transfer (automatic),25.3,676.35
121,0206-OYVOC,No,Feminino,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,Yes,0.64,Cheque enviado,19.25,864.2
122,0206-TBWLC,No,Feminino,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Um Ano,Yes,3.82,Cheque enviado,114.65,6049.5
123,0207-MDKNV,Yes,Feminino,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mês a mês,No,3.5,Cheque eletrônico,105.1,1582.75
124,0208-BPQEJ,No,Feminino,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mês a mês,No,0.65,Bank transfer (automatic),19.4,198.1
125,0212-ISBBF,No,Feminino,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mês a mês,Yes,1.68,Cheque eletrônico,50.35,1098.85
126,0214-JHPFW,No,Feminino,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Dois Anos,No,1.93,Bank transfer (automatic),57.8,4039.3
127,0215-BQKGS,No,Masculino,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Mês a mês,Yes,2.81,Credit card (automatic),84.3,2438.6
128,0218-QNVAS,No,Masculino,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Um Ano,No,3.35,Bank transfer (automatic),100.55,7113.75
129,0219-QAERP,No,Masculino,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,No,0.66,Credit card (automatic),19.8,576.65
130,0219-YTZUE,Yes,Masculino,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mês a mês,Yes,2.83,Bank transfer (automatic),84.8,371.9
131,0220-EBGCE,Yes,Masculino,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Mês a mês,Yes,2.86,Cheque eletrônico,85.85,167.3
132,0221-NAUXK,No,Masculino,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Um Ano,Yes,0.66,Bank transfer (automatic),19.95,219.5
133,0221-WMXNQ,No,Masculino,1,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Mês a mês,No,2.51,Cheque eletrônico,75.35,273.4
134,0222-CNVPT,No,Masculino,1,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Mês a mês,Yes,1.63,Credit card (automatic),48.8,2555.05
135,0224-HJAPT,Yes,Masculino,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Mês a mês,No,1.57,Cheque eletrônico,47.15,223.15
136,0224-NIJLP,No,Masculino,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Dois Anos,No,0.67,Cheque enviado,20.15,165.5
137,0224-RLWWD,No,Feminino,1,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Mês a mês,Yes,1.48,Cheque eletrônico,44.3,89.3
138,0225-ZORZP,No,Masculino,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Mês a mês,No,2.81,Cheque eletrônico,84.3,235.05
139,0228-MAUWC,No,Masculino,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Mês a mês,No,1.98,Cheque eletrônico,59.55,1144.6
140,0229-LFJAF,No,Masculino,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Dois Anos,No,2.32,Bank transfer (automatic),69.65,4908.25
141,0230-UBYPQ,No,Masculino,1,Yes,No,63,No,No phone service,DSL,Yes,No,No,Yes,No,No,Um Ano,No,1.2,Bank transfer (automatic),36.1,2298.9
142,0230-WEQUW,No,Masculino,0,Yes,No,66,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Dois Anos,Yes,1.89,Bank transfer (automatic),56.6,3789.2
143,0231-LXVAP,Yes,Masculino,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Mês a mês,Yes,2.53,Cheque eletrônico,75.9,75.9
144,0233-FTHAV,No,Feminino,0,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Um Ano,Yes,2.64,Bank transfer (automatic),79.2,4765.0
145,0234-TEVTT,No,Feminino,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Um Ano,No,1.5,Credit card (automatic),45.0,2196.3
146,0235-KGSLC,Yes,Feminino,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Mês a mês,Yes,2.85,Credit card (automatic),85.55,85.55
147,0236-HFWSV,Yes,Masculino,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mês a mês,Yes,3.11,Cheque eletrônico,93.35,1444.65
148,0237-YFUTL,No,Feminino,0,Yes,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Mês a mês,Yes,3.66,Bank transfer (automatic),109.65,5405.8
149,0238-WHBIQ,No,Masculino,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois Anos,No,2.99,Credit card (automatic),89.7,6339.3
150,0239-OXEXL,No,Feminino,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Mês a mês,No,2.81,Cheque enviado,84.25,3847.6
